Date,Open,High,Low,Close,Adj Close,Volume
2018-02-14,270.000000,271.000000,265.100006,266.500000,261.506470,11303222
2018-02-15,266.500000,269.899994,264.799988,268.100006,263.076477,11736246
2018-02-16,269.850006,270.750000,265.600006,266.450012,261.457397,6164187
2018-02-19,266.000000,267.799988,262.500000,264.100006,259.151428,6069585
2018-02-20,264.000000,265.799988,262.149994,263.250000,258.317352,9301017
2018-02-21,264.000000,268.950012,263.450012,268.200012,263.174622,10555155
2018-02-22,267.200012,269.000000,265.450012,267.100006,262.095215,19118686
2018-02-23,267.450012,270.000000,266.100006,269.049988,264.008667,6529253
2018-02-26,268.549988,269.500000,266.000000,266.549988,261.555511,8378818
2018-02-27,268.000000,268.200012,265.500000,266.399994,261.408325,7429924
2018-02-28,265.000000,266.299988,263.049988,265.049988,260.083618,13451146
2018-03-01,264.200012,266.100006,262.850006,264.000000,259.053314,7781553
2018-03-05,263.299988,263.299988,260.000000,260.250000,255.373566,6623613
2018-03-06,261.049988,262.399994,255.500000,256.500000,251.693832,8180373
2018-03-07,256.500000,260.500000,253.550003,259.899994,255.030121,15153219
2018-03-08,260.299988,261.899994,257.750000,258.850006,253.999802,6027032
2018-03-09,259.000000,260.899994,258.250000,259.250000,254.392303,6110339
2018-03-12,264.000000,270.850006,262.950012,270.100006,265.039001,19900387
2018-03-13,269.649994,272.000000,267.200012,269.450012,264.401184,8326884
2018-03-14,268.049988,269.049988,265.299988,268.049988,263.027405,7907101
2018-03-15,267.000000,269.899994,265.200012,265.549988,260.574249,5557668
2018-03-16,266.399994,266.399994,258.850006,260.500000,255.618881,20680532
2018-03-19,260.549988,262.200012,258.299988,259.149994,254.294174,12926158
2018-03-20,258.149994,259.950012,257.500000,259.200012,254.343246,7481088
2018-03-21,260.049988,261.649994,258.700012,259.049988,254.196045,12920867
2018-03-22,260.000000,261.450012,257.850006,258.299988,253.460098,8011131
2018-03-23,256.000000,258.799988,254.750000,256.000000,251.203201,11185677
2018-03-26,252.899994,260.000000,252.500000,258.100006,253.263855,12499724
2018-03-27,258.799988,260.500000,256.899994,258.899994,254.048859,8769415
2018-03-28,258.000000,258.950012,254.350006,255.500000,250.712570,12270479
2018-04-02,257.000000,258.950012,255.449997,258.250000,253.411041,7029064
2018-04-03,258.000000,260.000000,257.500000,258.500000,253.656357,5098212
2018-04-04,259.500000,259.799988,257.100006,258.600006,253.754486,8392947
2018-04-05,255.500000,260.000000,255.500000,259.649994,254.784805,9113610
2018-04-06,260.500000,262.000000,260.049988,260.850006,255.962326,6098959
2018-04-09,261.149994,266.600006,260.899994,265.799988,260.819550,9217475
2018-04-10,266.350006,268.700012,265.100006,266.700012,261.702728,14682547
2018-04-11,266.899994,267.549988,263.399994,265.149994,260.181732,5232228
2018-04-12,265.100006,265.149994,261.399994,261.950012,257.041718,6125006
2018-04-13,263.000000,263.500000,260.000000,260.750000,255.864197,4991314
2018-04-16,260.500000,264.899994,260.000000,264.450012,259.494873,5212182
2018-04-17,265.399994,268.399994,262.700012,267.600006,262.585846,13207767
2018-04-18,268.700012,278.899994,268.000000,275.350006,270.190643,23815794
2018-04-19,277.250000,280.000000,275.250000,277.350006,272.153168,12823460
2018-04-20,276.000000,279.250000,273.500000,276.200012,271.024719,10790554
2018-04-23,276.000000,277.200012,275.000000,275.500000,270.337830,11746220
2018-04-24,276.000000,278.850006,274.649994,276.000000,270.828461,8449353
2018-04-25,275.500000,276.299988,272.700012,274.100006,268.964050,4928817
2018-04-26,274.549988,279.100006,273.000000,278.250000,273.036285,20282977
2018-04-27,279.600006,280.950012,278.399994,279.399994,274.164734,9732842
2018-04-30,279.600006,283.850006,279.600006,281.450012,276.176331,5918966
2018-05-02,282.100006,288.700012,280.250000,287.250000,281.867645,16071685
2018-05-03,287.500000,289.700012,283.049988,285.000000,279.659821,9366444
2018-05-04,287.000000,287.000000,275.850006,277.149994,271.956909,10904195
2018-05-07,278.299988,283.399994,276.899994,282.250000,276.961334,6475767
2018-05-08,283.149994,285.950012,282.000000,282.700012,277.402924,6588906
2018-05-09,281.500000,284.000000,281.500000,282.299988,277.010406,4214376
2018-05-10,282.950012,283.950012,277.299988,280.149994,274.900696,5672203
2018-05-11,281.899994,284.000000,279.750000,283.649994,278.335114,3892106
2018-05-14,283.000000,287.299988,282.000000,284.799988,279.463562,6479302
2018-05-15,284.850006,286.000000,280.700012,281.850006,276.568848,7777542
2018-05-16,279.950012,288.799988,279.549988,285.850006,280.493896,18062869
2018-05-17,288.000000,288.700012,278.450012,278.950012,273.723175,10755084
2018-05-18,278.549988,285.549988,276.000000,282.299988,277.010406,15422138
2018-05-21,282.299988,284.000000,278.500000,282.350006,277.059479,8579200
2018-05-22,282.000000,283.100006,278.049988,278.750000,273.526917,4730984
2018-05-23,279.000000,279.399994,272.950012,273.450012,268.326233,7891899
2018-05-24,274.000000,276.799988,271.750000,274.850006,269.700012,6282351
2018-05-25,272.399994,275.000000,268.750000,272.299988,272.299988,9244273
2018-05-28,274.000000,277.500000,272.399994,275.299988,275.299988,6997081
2018-05-29,274.799988,277.750000,272.450012,274.049988,274.049988,8830998
2018-05-30,272.500000,273.700012,270.649994,271.899994,271.899994,8005601
2018-05-31,272.200012,272.700012,269.600006,271.649994,271.649994,13212672
2018-06-01,271.149994,271.700012,269.100006,269.950012,269.950012,6607768
2018-06-04,270.250000,271.950012,267.500000,268.899994,268.899994,7984112
2018-06-05,269.000000,269.850006,266.850006,267.500000,267.500000,5788321
2018-06-06,268.000000,271.149994,267.799988,270.399994,270.399994,7296797
2018-06-07,270.500000,272.299988,270.100006,271.049988,271.049988,6797792
2018-06-08,271.100006,271.500000,267.000000,267.899994,267.899994,6769606
2018-06-11,268.500000,271.899994,268.149994,269.250000,269.250000,8572974
2018-06-12,269.299988,274.600006,269.250000,270.250000,270.250000,8449515
2018-06-13,271.500000,271.799988,267.200012,267.850006,267.850006,7817856
2018-06-14,266.500000,268.899994,266.000000,267.250000,267.250000,9169601
2018-06-15,267.500000,267.750000,263.600006,264.500000,264.500000,10814596
2018-06-18,264.450012,265.500000,263.500000,264.549988,264.549988,6281093
2018-06-19,264.899994,267.149994,262.649994,266.049988,266.049988,7336092
2018-06-20,266.450012,267.000000,263.049988,263.750000,263.750000,9540207
2018-06-21,264.399994,264.799988,260.399994,260.850006,260.850006,7137481
2018-06-22,260.549988,266.799988,260.000000,265.149994,265.149994,16820667
2018-06-25,265.149994,265.399994,259.750000,262.600006,262.600006,13617718
2018-06-26,262.450012,266.149994,262.149994,264.799988,264.799988,10087090
2018-06-27,264.899994,265.000000,261.500000,262.750000,262.750000,10036967
2018-06-28,262.000000,264.000000,259.000000,260.500000,260.500000,14637010
2018-06-29,261.799988,267.549988,260.299988,266.200012,266.200012,10907020
2018-07-02,267.000000,267.100006,260.049988,263.049988,263.049988,18097981
2018-07-03,263.500000,266.750000,261.149994,265.450012,265.450012,10385004
2018-07-04,266.299988,266.299988,262.200012,264.399994,264.399994,7881279
2018-07-05,264.600006,273.799988,263.500000,272.500000,272.500000,15473199
2018-07-06,272.750000,274.750000,270.149994,272.649994,272.649994,12936762
2018-07-09,275.000000,276.000000,272.200012,274.399994,274.399994,9782072
2018-07-10,275.500000,277.500000,273.100006,277.049988,277.049988,11486223
2018-07-11,276.850006,280.299988,273.750000,275.750000,275.750000,11362662
2018-07-12,275.750000,278.149994,273.299988,277.200012,277.200012,9902834
2018-07-13,278.000000,278.299988,269.200012,270.399994,270.399994,18590126
2018-07-16,270.299988,273.299988,269.700012,271.600006,271.600006,10281018
2018-07-17,271.049988,273.000000,269.299988,269.850006,269.850006,10033333
2018-07-18,271.100006,271.299988,267.600006,268.549988,268.549988,7050253
2018-07-19,268.899994,274.600006,266.250000,273.299988,273.299988,8956760
2018-07-20,273.250000,274.799988,270.649994,274.000000,274.000000,6572535
2018-07-23,279.500000,286.649994,277.149994,284.149994,284.149994,26056261
2018-07-24,284.500000,287.000000,283.549988,285.649994,285.649994,12111542
2018-07-25,284.250000,286.950012,283.200012,286.149994,286.149994,13301823
2018-07-26,287.000000,291.149994,284.200012,287.200012,287.200012,20698478
2018-07-27,300.000000,307.149994,295.000000,302.549988,302.549988,75862167
2018-07-30,302.000000,303.600006,300.000000,301.049988,301.049988,17080727
2018-07-31,300.750000,301.350006,295.549988,297.700012,297.700012,14563274
2018-08-01,298.049988,302.950012,296.100006,301.600006,301.600006,14624672
2018-08-02,300.500000,303.500000,297.299988,299.200012,299.200012,9847568
2018-08-03,300.000000,305.399994,298.149994,303.950012,303.950012,12470372
2018-08-06,305.000000,306.899994,300.000000,301.799988,301.799988,7683950
2018-08-07,302.950012,304.200012,299.750000,301.100006,301.100006,7188877
2018-08-08,300.250000,302.399994,300.000000,300.950012,300.950012,6442258
2018-08-09,301.750000,304.600006,300.049988,302.500000,302.500000,9221385
2018-08-10,302.000000,306.899994,301.149994,304.799988,304.799988,14777932
2018-08-13,304.000000,307.799988,303.149994,305.950012,305.950012,9957591
2018-08-14,307.000000,310.200012,306.850006,307.899994,307.899994,12315926
2018-08-16,307.899994,308.500000,305.100006,307.450012,307.450012,18674289
2018-08-17,307.799988,315.299988,307.799988,313.750000,313.750000,25413745
