Date,Open,High,Low,Close,Adj Close,Volume
2/14/2018,83.050003,83.449997,81.5,82.050003,82.050003,1887203
2/15/2018,82.75,83,80,80.449997,80.449997,1544440
2/16/2018,80.900002,81.300003,78.699997,80.099998,80.099998,1650445
2/19/2018,80.800003,81.199997,78.5,79,79,2023171
2/20/2018,80.550003,81,79.349998,79.900002,79.900002,3280222
2/21/2018,80.800003,80.949997,79,79.300003,79.300003,1087538
2/22/2018,78.699997,79.449997,78.650002,79.099998,79.099998,855735
2/23/2018,79.150002,82.449997,78.900002,82,82,2070976
2/26/2018,82,82.550003,80.900002,81.949997,81.949997,1114194
2/27/2018,81.949997,82.699997,80.449997,81.349998,81.349998,1273934
2/28/2018,81,81.449997,80,80.699997,80.699997,1902068
3/1/2018,80.550003,81.599998,80.150002,80.650002,80.650002,867926
3/5/2018,80.199997,80.949997,78.75,79.550003,79.550003,1068822
3/6/2018,81.400002,81.849998,78.699997,79.099998,79.099998,1815449
3/7/2018,78.800003,79.5,77.400002,77.800003,77.800003,2515815
3/8/2018,78.599998,79.75,76.400002,79.5,79.5,1895923
3/9/2018,80.099998,80.5,78.650002,78.800003,78.800003,1083422
3/12/2018,79.400002,79.75,77.150002,77.5,77.5,3088849
3/13/2018,76.5,80.5,76.400002,79.849998,79.849998,2533986
3/14/2018,79.699997,80,76.75,78.849998,78.849998,1766214
3/15/2018,78.5,79.900002,78.099998,78.949997,78.949997,1008099
3/16/2018,79,81.650002,77.400002,77.900002,77.900002,2399328
3/19/2018,78.25,78.300003,72.400002,73.550003,73.550003,2805790
3/20/2018,72.75,75.949997,72.650002,75.349998,75.349998,2307915
3/21/2018,75.349998,76.300003,74.25,75.75,75.75,2073480
3/22/2018,75.75,75.949997,73.349998,73.900002,73.900002,1339629
3/23/2018,72,73.400002,71.150002,72.050003,72.050003,2600330
3/26/2018,71.449997,74,69.650002,73.199997,73.199997,2098344
3/27/2018,73.699997,74.900002,73.400002,74.199997,74.199997,1389439
3/28/2018,73.199997,74,72.300003,72.800003,72.800003,802886
4/2/2018,73.5,76,73.300003,75.449997,75.449997,1129671
4/3/2018,74.5,79.75,74.349998,79.150002,79.150002,2866285
4/4/2018,80.099998,82.199997,79.599998,80.949997,80.949997,4597402
4/5/2018,82.150002,83.400002,81.550003,83,83,1628430
4/6/2018,82.75,82.75,81.550003,81.75,81.75,1345801
4/9/2018,81.650002,82.5,80.199997,80.650002,80.650002,998206
4/10/2018,80.599998,82.400002,80.300003,80.949997,80.949997,1001711
4/11/2018,81.349998,81.599998,80.400002,80.900002,80.900002,870825
4/12/2018,81,81.25,79.099998,79.300003,79.300003,610451
4/13/2018,79.300003,81.5,79.25,80.300003,80.300003,2045305
4/16/2018,79.300003,80.900002,78.599998,80.599998,80.599998,1499506
4/17/2018,81,83.949997,80.5,83.400002,83.400002,2873987
4/18/2018,84.050003,85.800003,82.849998,85,85,2944450
4/19/2018,85.5,86.5,84.900002,85.400002,85.400002,2616195
4/20/2018,85.099998,85.449997,83.050003,83.599998,83.599998,859565
4/23/2018,83.300003,84.400002,82.25,83.5,83.5,725569
4/24/2018,83.150002,84.5,83,83.650002,83.650002,765195
4/25/2018,83.599998,85.400002,82,82.699997,82.699997,1201456
4/26/2018,82.650002,83.599998,81.199997,81.550003,81.550003,636767
4/27/2018,81.75,82.650002,80.75,80.849998,80.849998,539333
4/30/2018,81,85.800003,80.800003,84.75,84.75,1900898
5/2/2018,85.800003,86,81.5,82,82,1581279
5/3/2018,81.800003,83.449997,79.550003,81.800003,81.800003,1384438
5/4/2018,77.800003,79.099998,74.800003,75.25,75.25,5449397
5/7/2018,75,75,73.599998,74.449997,74.449997,1319363
5/8/2018,74.550003,75.150002,70.75,71.849998,71.849998,2454148
5/9/2018,71.800003,72.550003,69.300003,70.099998,70.099998,2663950
