Date,Open,High,Low,Close,Adj Close,Volume
2/14/2018,689,695,679.5,682.25,680.254822,312807
2/15/2018,685,695,673.200012,682.400024,680.404419,282049
2/16/2018,688,694.549988,685.650024,689.25,687.234375,226925
2/19/2018,700,705,678.599976,685.25,683.246094,423633
2/20/2018,687,690,670,674.650024,672.677063,172882
2/21/2018,680,682.950012,662.450012,675.5,673.524597,428939
2/22/2018,675,675.400024,664,666.200012,664.25177,235890
2/23/2018,670,679.75,666.150024,675.700012,673.723999,288608
2/26/2018,680,689.75,674.25,682.200012,680.205017,271771
2/27/2018,681.5,690.799988,676,689.450012,687.433777,219932
2/28/2018,689.400024,698.700012,682.099976,694.5,692.468994,360647
3/1/2018,695.900024,696,686,690,687.982178,272512
3/5/2018,689,689,666,672.549988,670.583191,301455
3/6/2018,678,682.099976,651,655.049988,653.134399,245988
3/7/2018,657,659.950012,650.049988,652.599976,650.691528,192215
3/8/2018,653.599976,659.450012,647,653.299988,651.389465,113706
3/9/2018,657.5,674.400024,650.549988,670.299988,668.339783,483527
3/12/2018,670.200012,689.900024,668.799988,678.549988,676.565674,163349
3/13/2018,677,685,672,677.5,675.518738,73256
3/14/2018,673,683.5,667.5,674.150024,672.178528,305570
3/15/2018,672.5,676.75,671.049988,675,673.026062,140732
3/16/2018,675,677.349976,666,668.450012,666.495178,150189
3/19/2018,666.450012,681.799988,666.450012,674.099976,672.128662,138766
3/19/2018,666.450012,681.799988,666.450012,674.099976,672.128662,138766
3/20/2018,669,688.5,668.400024,686.599976,684.592102,167488
3/21/2018,686.099976,691,670.549988,672.900024,670.93219,395902
3/22/2018,675,679,662.049988,664.900024,662.955627,147381
3/23/2018,660.049988,673.900024,658,664.5,662.556763,225060
3/26/2018,660.150024,669.450012,659,663.099976,661.160828,186540
3/27/2018,667,680.799988,666.049988,672.950012,670.982056,369173
3/28/2018,668.950012,711,664,678.25,676.266541,446572
4/2/2018,681,695,681,683.900024,681.900024,263227
4/3/2018,686,686,675,680,680,783770
4/4/2018,681.049988,690.950012,677.099976,679.950012,679.950012,520436
4/5/2018,680.5,687.650024,674.150024,675,675,514819
4/6/2018,679.650024,685,674,679.650024,679.650024,667025
4/9/2018,675.549988,685,675,678.700012,678.700012,886583
4/10/2018,678,699.950012,678,695.700012,695.700012,955511
4/11/2018,691,720,691,719,719,715637
4/12/2018,713.549988,724.700012,712,719.049988,719.049988,665026
4/13/2018,714,720,706.349976,711.650024,711.650024,681889
4/16/2018,702,712.5,702,708.900024,708.900024,389870
4/17/2018,710,723,708.200012,721.400024,721.400024,307669
4/18/2018,715.900024,724.5,713.049988,721.349976,721.349976,241773
4/19/2018,716.049988,724.950012,713.900024,722.900024,722.900024,228583
4/20/2018,718,721.950012,710.099976,716.150024,716.150024,114992
4/23/2018,712.099976,725,712.099976,716.950012,716.950012,523622
4/24/2018,717,755,714.950012,746,746,1182526
4/25/2018,749.900024,768.799988,746.049988,766.099976,766.099976,1763048
4/26/2018,767,771.049988,742.650024,762.799988,762.799988,1352072
4/27/2018,750,774.599976,745,758.849976,758.849976,700854
4/30/2018,756,762.849976,732,743.099976,743.099976,448784
5/2/2018,736.5,757.650024,736.5,746.549988,746.549988,514382
5/3/2018,746.549988,752.049988,716.25,732,732,259083
5/4/2018,725,728.950012,700.099976,702.099976,702.099976,405214
5/7/2018,704,714.599976,696.299988,703.599976,703.599976,291749
5/8/2018,708.900024,708.900024,692.25,702.450012,702.450012,256284
5/9/2018,704.900024,709,691,699.950012,699.950012,1771037
