Date,Open,High,Low,Close,Adj Close,Volume
2/14/2018,719.299988,720.5,704.549988,708,695.602905,4885951
2/15/2018,711.349976,719.150024,697.25,700.549988,688.283325,5131245
2/16/2018,708,709.5,683.599976,689.75,677.672424,5012760
2/19/2018,693.400024,693.400024,639,648.849976,637.488586,17658708
2/20/2018,654.799988,661.5,648.150024,651.299988,639.895691,10214478
2/21/2018,654.900024,655.549988,633,640.950012,629.726929,10307539
2/22/2018,640.349976,647.799988,632.849976,637.549988,626.386475,8950631
2/23/2018,640.849976,686.400024,639,677.75,665.882568,21866214
2/26/2018,680,692.650024,673.200012,680.200012,668.289673,9199775
2/27/2018,681.400024,686.900024,669.200012,671.75,659.98761,6805376
2/28/2018,663.849976,675,660,671.599976,659.84021,7112650
3/1/2018,671.349976,685,670.049988,675.049988,663.229797,7128399
3/5/2018,669.25,669.299988,651.799988,655.900024,644.415161,9785466
3/6/2018,664.849976,674,656.549988,659.75,648.197754,8414960
3/7/2018,657,661.400024,644.650024,647.700012,636.358765,5130577
3/8/2018,656.900024,660.950012,632.700012,635.900024,624.765381,7126105
3/9/2018,640.049988,646.75,601.5,606.75,596.125793,18096367
3/12/2018,614.450012,626.400024,606.400024,622.900024,611.992981,12193581
3/13/2018,623,633.200012,614.349976,628.849976,617.838806,10490405
3/14/2018,624,630.900024,618.599976,620.549988,609.684143,8655181
3/15/2018,620,622.599976,609.599976,611.75,601.038208,7510951
3/16/2018,611.75,613.900024,594.400024,600.200012,589.690491,11739582
3/19/2018,600,601.900024,572.849976,574.950012,564.882629,12542317
3/20/2018,571,600.900024,568.450012,593,582.616516,17645035
3/21/2018,598.950012,601.700012,580.5,582.25,572.054749,11939451
3/22/2018,582.700012,587.450012,572,580.900024,570.728455,11486245
3/23/2018,560.049988,568.799988,553.5,566.5,556.580566,14133550
3/26/2018,568.900024,588.349976,560.799988,581.549988,571.367004,10929998
3/27/2018,590.450012,599,587.549988,590,579.669067,10038168
3/28/2018,581.049988,583,565.299988,571.049988,561.050842,18655057
4/2/2018,573.099976,580.299988,568.099976,578.799988,568.665161,6889345
4/3/2018,570.200012,585.450012,568.349976,579.700012,569.549438,10508317
4/4/2018,583.099976,590.5,557.549988,560.549988,550.734741,13909893
4/5/2018,573.849976,583.599976,569.5,580.450012,570.286316,13262168
4/6/2018,574.849976,589.900024,573,587.200012,576.918091,8520201
4/9/2018,589.5,595.75,583.400024,586.150024,575.886475,9489221
4/10/2018,593,604.599976,592.299988,601.900024,591.360718,10850710
4/11/2018,608,610.900024,600.349976,608.049988,597.403015,8724716
4/12/2018,606.900024,608.75,596.700012,598.400024,587.921997,6628499
4/13/2018,600,604.700012,590.400024,594.049988,583.648132,6716146
